location_id,row_x,bay_y,level_z
0000100505,1,5,5
0000100506,1,5,6
0000100507,1,5,7
0000100600,1,6,0
0000100601,1,6,1
0000100602,1,6,2
0000100603,1,6,3
0000100604,1,6,4
0000100605,1,6,5
0000100606,1,6,6
0000100607,1,6,7
0000100700,1,7,0
0000100701,1,7,1
0000100702,1,7,2
0000100703,1,7,3
0000100704,1,7,4
0000100705,1,7,5
0000100706,1,7,6
0000100707,1,7,7
0000100800,1,8,0
0000100801,1,8,1
0000100802,1,8,2
0000100803,1,8,3
0000100804,1,8,4
0000100805,1,8,5
0000100806,1,8,6
0000100807,1,8,7
0000100900,1,9,0
0000100901,1,9,1
0000100902,1,9,2
0000100903,1,9,3
0000100904,1,9,4
0000100905,1,9,5
0000100906,1,9,6
0000100907,1,9,7
0000101000,1,10,0
0000101001,1,10,1
0000101002,1,10,2
0000101003,1,10,3
0000101004,1,10,4
0000101005,1,10,5
0000101006,1,10,6
0000101007,1,10,7
0000200000,2,0,0
0000200001,2,0,1
0000200002,2,0,2
0000200003,2,0,3
0000200004,2,0,4
0000200005,2,0,5
0000200006,2,0,6
0000200007,2,0,7
0000200100,2,1,0
0000200101,2,1,1
0000200102,2,1,2
0000200103,2,1,3
0000200104,2,1,4
0000200105,2,1,5
0000200106,2,1,6
0000200107,2,1,7
0000200200,2,2,0
0000200201,2,2,1
0000200202,2,2,2
0000200203,2,2,3
0000200204,2,2,4
0000200205,2,2,5
0000200206,2,2,6
0000200207,2,2,7
0000200300,2,3,0
0000200301,2,3,1
0000200302,2,3,2
0000200303,2,3,3
0000200304,2,3,4
0000200305,2,3,5
0000200306,2,3,6
0000200307,2,3,7
0000200400,2,4,0
0000200401,2,4,1
0000200402,2,4,2
0000200403,2,4,3
0000200404,2,4,4
0000200405,2,4,5
0000200406,2,4,6
0000200407,2,4,7
0000200500,2,5,0
0000200501,2,5,1
0000200502,2,5,2
0000200503,2,5,3
0000200504,2,5,4
0000200505,2,5,5
0000200506,2,5,6
0000200507,2,5,7
0000200600,2,6,0
0000200601,2,6,1
0000200602,2,6,2
0000200603,2,6,3
0000200604,2,6,4
0000200605,2,6,5
0000200606,2,6,6
0000200607,2,6,7
0000200700,2,7,0
0000200701,2,7,1
0000200702,2,7,2
0000200703,2,7,3
0000200704,2,7,4
0000200705,2,7,5
0000200706,2,7,6
0000200707,2,7,7
0000200800,2,8,0
0000200801,2,8,1
0000200802,2,8,2
0000200803,2,8,3
0000200804,2,8,4
0000200805,2,8,5
0000200806,2,8,6
0000200807,2,8,7
0000200900,2,9,0
0000200901,2,9,1
0000200902,2,9,2
0000200903,2,9,3
0000200904,2,9,4
0000200905,2,9,5
0000200906,2,9,6
0000200907,2,9,7
0000201000,2,10,0
0000201001,2,10,1
0000201002,2,10,2
0000201003,2,10,3
0000201004,2,10,4
0000201005,2,10,5
0000201006,2,10,6
0000201007,2,10,7
0000300000,3,0,0
0000300001,3,0,1
0000300002,3,0,2
0000300003,3,0,3
0000300004,3,0,4
0000300005,3,0,5
0000300006,3,0,6
0000300007,3,0,7
0000300100,3,1,0
0000300101,3,1,1
0000300102,3,1,2
0000300103,3,1,3
0000300104,3,1,4
0000300105,3,1,5
0000300106,3,1,6
0000300107,3,1,7
0000300200,3,2,0
0000300201,3,2,1
0000300202,3,2,2
0000300203,3,2,3
0000300204,3,2,4
0000300205,3,2,5
0000300206,3,2,6
0000300207,3,2,7
