Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064507,89,4097.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064512,14,652.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064519,30,1223.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064529,49,2583.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064552,165,7054.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064612,21,968.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064626,115,5178.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064644,55,2499.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064651,10,608.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064654,14,684.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064700,21,1014.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064707,51,2171.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064714,27,1472.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064719,13,608.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064724,22,996.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064734,61,2726.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064743,17,756.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064747,21,1072.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064751,8,464.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064755,8,388.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064759,24,1056.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064804,8,466.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064807,13,608.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064813,31,1306.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064818,11,518.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064824,14,774.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064828,26,1279.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064833,16,758.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064838,26,1189.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064845,41,1985.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064853,10,606.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064857,18,886.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064901,11,584.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064906,38,1778.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064911,11,541.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064915,30,1306.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064919,14,746.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064923,8,507.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064930,60,2598.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064937,9,501.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064940,15,678.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064948,48,2394.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064957,14,736.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065002,16,788.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065011,77,3874.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065023,23,1170.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065030,37,1724.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065043,111,4871.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065058,19,926.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065103,13,708.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065107,11,470.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065113,58,2638.0,0.0
